customer_unique_id,Recency,Frequency,Monetary,Cluster,Segment
0000366f3b9a7992bf8c76cfdf3221e2,161,1,141.9,3,Recent Customers
0000b849f77a49e4a4ce2b2a4ca5be3f,164,1,27.19,1,Low Value Inactive
0000f46a3911fa3c0805444483337064,586,1,86.22,1,Low Value Inactive
0000f6ccb0745a6a4b88665a16c9f078,370,1,43.62,1,Low Value Inactive
0004aac84e0df4da2b147fca70cf8255,337,1,196.89,0,High - Value Inactive
0004bd2a26a76fe21f786e4fbd80607f,195,1,166.98,0,High - Value Inactive
00050ab1314c0e55a6ca13cf7181fecf,181,1,35.38,1,Low Value Inactive
00053a61a98854899e70ed204dd4bafe,232,1,419.18,0,High - Value Inactive
0005e1862207bf6ccc02e4228effd9a0,592,1,150.12,0,High - Value Inactive
0005ef4cd20d2893f0d9fbd94d3c0d97,220,1,129.76,0,High - Value Inactive
0006fdc98a402fceb4eb0ee528f6a8d4,457,1,29.0,1,Low Value Inactive
00082cbe03e478190aadbea78542e933,333,1,126.26,1,Low Value Inactive
00090324bbad0e9342388303bb71ba0a,208,1,63.66,1,Low Value Inactive
000949456b182f53c18b68d6babc79c1,178,1,82.05,3,Recent Customers
000a5ad9c4601d2bbdd9ed765d5213b3,433,1,91.28,1,Low Value Inactive
000bfa1d2f1a41876493be685390d6d3,384,1,46.85,1,Low Value Inactive
000c8bdb58a29e7115cfc257230fb21b,309,1,29.0,1,Low Value Inactive
000d460961d6dbfa3ec6c9f5805769e1,283,1,36.68,1,Low Value Inactive
000de6019bb59f34c099a907c151d855,426,1,257.44,0,High - Value Inactive
000e309254ab1fc5ba99dd469d36bdb4,115,1,78.42,3,Recent Customers
000ec5bff359e1c0ad76a81a45cb598f,58,1,27.75,3,Recent Customers
000ed48ceeb6f4bf8ad021a10a3c7b43,151,1,20.75,1,Low Value Inactive
000fbf0473c10fc1ab6f8d2d286ce20c,84,1,362.38,3,Recent Customers
0010a452c6d13139e50b57f19f52e04e,464,1,325.93,0,High - Value Inactive
0010fb34b966d44409382af9e8fd5b77,227,1,61.8,1,Low Value Inactive
001147e649a7b1afd577e873841632dd,413,1,212.16,0,High - Value Inactive
00115fc7123b5310cf6d3a3aa932699e,634,1,76.11,1,Low Value Inactive
0011805441c0d1b68b48002f1d005526,542,1,297.14,0,High - Value Inactive
0011857aff0e5871ce5eb429f21cdaf5,477,1,192.83,0,High - Value Inactive
0011c98589159d6149979563c504cb21,439,1,117.94,1,Low Value Inactive
0012929d977a8d7280bb277c1e5f589d,366,1,155.65,0,High - Value Inactive
0014a5a58da615f7b01a4f5e194bf5ea,272,1,99.82,1,Low Value Inactive
0015752e079902b12cd00b9b7596276b,76,1,74.82,3,Recent Customers
00172711b30d52eea8b313a7f2cced02,66,2,244.14,2,High Value Repeat
00191a9719ef48ebb5860b130347bf33,547,1,58.86,1,Low Value Inactive
001926cef41060fae572e2e7b30bd2a4,427,1,91.21,1,Low Value Inactive
001928b561575b2821c92254a2327d06,54,1,164.81,3,Recent Customers
00196c4c9a3af7dd2ad10eade69c926f,82,1,37.58,3,Recent Customers
00196fdb2bf9edfc35e88ebfbcf8d781,237,1,27.0,1,Low Value Inactive
0019da6aa6bcb27cc32f1249bd12da05,249,1,87.71,1,Low Value Inactive
0019e8c501c85848ac0966d45226fa1d,170,1,197.27,0,High - Value Inactive
001a2bf0e46c684031af91fb2bce149d,475,1,36.73,1,Low Value Inactive
001a34eb30ecb8e3aacb07c475ca4dd1,98,1,161.71,3,Recent Customers
001a3a8e11d76c9a366c31a4aa2cc529,150,1,24.23,3,Recent Customers
001ae44fa04911a9e9577356dce6c63c,345,1,116.23,1,Low Value Inactive
001ae5a1788703d64536c30362503e49,314,1,135.08,0,High - Value Inactive
001deb796b28a3a128d6113857569aa4,118,1,63.33,3,Recent Customers
001f3c4211216384d5fe59b041ce1461,577,1,35.84,1,Low Value Inactive
002043098f10ba39a4600b6c52fbfe3c,571,1,237.81,0,High - Value Inactive
